Player,Age,Yrs,Games_Played,Minutes_Played,Field_Goals,Field_Goals_Attempted,3_Point_Goals,3_Point_Attempted,Free_Throws,Free_Throws_Attempted,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Field_Goal_Percentage,3_Point_FG_Percentage,Free_Throw_Percentage,Minutes_Played_PG,Points_PG,Rebounds_PG,Assists_PG,All_Star
AlanAnderson,23,1,36,564,75,181,24,58,33,41,23,70,32,11,4,32,48,207,0.414,0.414,0.805,15.7,5.8,1.9,0.9,0
AlanWilliams,23,1,10,68,10,24,0,0,9,14,14,38,5,4,5,6,15,29,0.417,,0.643,6.8,2.9,3.8,0.5,0
AlandoTucker,23,1,6,48,8,22,1,4,5,6,4,8,0,0,1,0,2,22,0.364,0.25,0.833,8,3.7,1.3,0,0
AlecBurks,20,1,59,939,153,357,15,45,104,143,57,132,55,27,5,51,84,425,0.429,0.333,0.727,15.9,7.2,2.2,0.9,0
AlexAcker,23,1,5,35,4,16,1,5,0,0,1,5,4,1,0,4,4,9,0.25,0.2,,7,1.8,1,0.8,0
AlexKirk,23,1,5,14,1,4,0,0,2,2,1,1,1,0,0,0,1,4,0.25,,1,2.8,0.8,0.2,0.2,0
AlexLen,20,1,42,362,33,78,0,0,20,31,39,99,4,4,18,26,68,86,0.423,,0.645,8.6,2,2.4,0.1,0
AlexScales,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
AlexStepheson,28,1,8,73,9,27,0,0,4,12,19,28,2,1,5,0,12,22,0.333,,0.333,9.1,2.8,3.5,0.3,0
AlexanderJohnson,23,1,59,753,91,169,0,0,78,118,50,181,17,25,35,47,137,260,0.538,,0.661,12.8,4.4,3.1,0.3,0
AlexeyShved,24,1,77,1840,236,635,85,288,108,150,41,175,286,54,27,147,117,665,0.372,0.295,0.72,23.9,8.6,2.3,3.7,0
AlexisAjinça,20,1,31,182,25,69,0,2,20,28,9,30,3,7,6,12,34,70,0.362,0,0.714,5.9,2.3,1,0.1,0
AllanRay,22,1,47,710,100,259,48,116,42,55,18,69,43,20,3,42,85,290,0.386,0.414,0.764,15.1,6.2,1.5,0.9,0
AllenCrabbe,21,1,15,100,12,33,6,14,3,4,1,9,6,2,1,3,10,33,0.364,0.429,0.75,6.7,2.2,0.6,0.4,0
AlonzoGee,22,1,11,182,28,59,7,9,18,29,15,33,7,7,1,10,13,81,0.475,0.778,0.621,16.5,7.4,3,0.6,0
AmirJohnson,18,1,3,39,7,10,2,3,4,4,3,4,3,0,2,4,7,20,0.7,0.667,1,13,6.7,1.3,1,0
AndersonVarejão,22,1,54,863,99,193,0,2,68,127,109,257,27,41,38,26,122,266,0.513,0,0.535,16,4.9,4.8,0.5,0
AndrayBlatche,19,1,29,175,26,67,3,13,10,12,12,38,10,5,7,12,36,65,0.388,0.231,0.833,6,2.2,1.3,0.3,0
AndreBarrett,22,1,38,483,45,124,14,52,14,19,11,40,69,19,1,27,51,118,0.363,0.269,0.737,12.7,3.1,1.1,1.8,0
AndreBrown,25,1,38,271,42,74,0,1,9,15,26,74,2,6,4,29,26,93,0.568,0,0.6,7.1,2.4,1.9,0.1,0
AndreDawkins,23,1,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,0.167,0.167,,5.5,0.8,0.5,0.3,0
AndreDrummond,19,1,60,1243,208,342,1,2,59,159,169,457,30,59,95,57,144,476,0.608,0.5,0.371,20.7,7.9,7.6,0.5,1
AndreEmmett,22,1,8,28,2,6,0,0,3,5,0,2,0,0,0,1,4,7,0.333,,0.6,3.5,0.9,0.3,0,0
